date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:11	35149/35149	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Apr%202022%2007:30:14%20GMT	https://templates.hibootstrap.com/jovie/default/index.html	C:/My%20Web%20Sites/javiya%20job/templates.hibootstrap.com/jovie/default/index.html	(from )
09:39:12	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Dec%202022%2004:09:12%20GMT	https://templates.hibootstrap.com/robots.txt		(from )
09:39:13	163827/163827	---MCZ	200	added ('OK')	text/css	etag:W/%22625bc20e-27ff3%22	https://templates.hibootstrap.com/jovie/default/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/javiya%20job/templates.hibootstrap.com/jovie/default/assets/css/bootstrap.min.css	(from https://templates.hibootstrap.com/jovie/default/index.html)
09:39:13	3356/3356	---MCZ	200	added ('OK')	text/css	etag:W/%22625bc20f-d1c%22	https://templates.hibootstrap.com/jovie/default/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/javiya%20job/templates.hibootstrap.com/jovie/default/assets/css/owl.carousel.min.css	(from https://templates.hibootstrap.com/jovie/default/index.html)
09:39:13	1018/1018	---MCZ	200	added ('OK')	text/css	etag:W/%22625bc20f-3fa%22	https://templates.hibootstrap.com/jovie/default/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/javiya%20job/templates.hibootstrap.com/jovie/default/assets/css/owl.theme.default.min.css	(from https://templates.hibootstrap.com/jovie/default/index.html)
09:39:13	65758/65758	---MCZ	200	added ('OK')	text/css	etag:W/%22625bc20e-100de%22	https://templates.hibootstrap.com/jovie/default/assets/css/boxicon.min.css	C:/My%20Web%20Sites/javiya%20job/templates.hibootstrap.com/jovie/default/assets/css/boxicon.min.css	(from https://templates.hibootstrap.com/jovie/default/index.html)
09:39:13	1498/1498	---MCZ	200	added ('OK')	text/css	etag:W/%22625bc222-756%22	https://templates.hibootstrap.com/jovie/default/assets/fonts/flaticon/flaticon.css	C:/My%20Web%20Sites/javiya%20job/templates.hibootstrap.com/jovie/default/assets/fonts/flaticon/flaticon.css	(from https://templates.hibootstrap.com/jovie/default/index.html)
09:39:13	5571/5571	---MCZ	200	added ('OK')	text/css	etag:W/%22625bc20f-15c3%22	https://templates.hibootstrap.com/jovie/default/assets/css/meanmenu.css	C:/My%20Web%20Sites/javiya%20job/templates.hibootstrap.com/jovie/default/assets/css/meanmenu.css	(from https://templates.hibootstrap.com/jovie/default/index.html)
09:39:14	72033/72033	---MCZ	200	added ('OK')	text/css	etag:W/%22625bc210-16e91%22	https://templates.hibootstrap.com/jovie/default/assets/css/style.css	C:/My%20Web%20Sites/javiya%20job/templates.hibootstrap.com/jovie/default/assets/css/style.css	(from https://templates.hibootstrap.com/jovie/default/index.html)
09:39:14	11007/11007	---MCZ	200	added ('OK')	text/css	etag:W/%22625bc20e-32d3%22	https://templates.hibootstrap.com/jovie/default/assets/css/dark.css	C:/My%20Web%20Sites/javiya%20job/templates.hibootstrap.com/jovie/default/assets/css/dark.css	(from https://templates.hibootstrap.com/jovie/default/index.html)
09:39:14	18418/18418	---MCZ	200	added ('OK')	text/css	etag:W/%22625bc20f-70f4%22	https://templates.hibootstrap.com/jovie/default/assets/css/responsive.css	C:/My%20Web%20Sites/javiya%20job/templates.hibootstrap.com/jovie/default/assets/css/responsive.css	(from https://templates.hibootstrap.com/jovie/default/index.html)
09:39:15	485/485	---M--	200	added ('OK')	image/png	etag:%22625bc213-1e5%22	https://templates.hibootstrap.com/jovie/default/assets/img/favicon.png	C:/My%20Web%20Sites/javiya%20job/templates.hibootstrap.com/jovie/default/assets/img/favicon.png	(from https://templates.hibootstrap.com/jovie/default/index.html)
09:39:15	632/632	---M--	200	added ('OK')	image/png	etag:%22625bc214-278%22	https://templates.hibootstrap.com/jovie/default/assets/img/logo.png	C:/My%20Web%20Sites/javiya%20job/templates.hibootstrap.com/jovie/default/assets/img/logo.png	(from https://templates.hibootstrap.com/jovie/default/index.html)
09:39:15	33942/33942	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Apr%202022%2007:30:14%20GMT	https://templates.hibootstrap.com/jovie/default/index-two.html	C:/My%20Web%20Sites/javiya%20job/templates.hibootstrap.com/jovie/default/index-two.html	(from https://templates.hibootstrap.com/jovie/default/index.html)
09:39:16	28708/28708	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Apr%202022%2007:30:14%20GMT	https://templates.hibootstrap.com/jovie/default/index-three.html	C:/My%20Web%20Sites/javiya%20job/templates.hibootstrap.com/jovie/default/index-three.html	(from https://templates.hibootstrap.com/jovie/default/index.html)
09:39:16	27912/27912	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Apr%202022%2007:30:14%20GMT	https://templates.hibootstrap.com/jovie/default/index-four.html	C:/My%20Web%20Sites/javiya%20job/templates.hibootstrap.com/jovie/default/index-four.html	(from https://templates.hibootstrap.com/jovie/default/index.html)
